sample,category,subcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
New_Zealand_(S._Island),composite,denudation_regions,"McLennan, 1993",62.60,0.67,18.90,0.76,4.75,0.07,2.38,3.38,2.49,3.52,0.21,
U.S._Atlantic_Coast,composite,denudation_regions,"McLennan, 1993",61.20,0.90,17.90,0.90,5.77,0.20,3.12,3.12,1.54,3.42,0.21,
MBG1,sample,lake_sediment,"Lone et al., 2017",50.27,15.22,4.26,0.01,0.06,2.17,12.76,1.01,2.20,0.50,0.44,
MBG2,sample,lake_sediment,"Lone et al., 2017",50.67,14.00,5.88,0.01,0.06,3.00,11.15,3.51,2.99,0.75,0.49,
MBG3,sample,lake_sediment,"Lone et al., 2017",52.42,13.40,4.41,0.01,0.04,2.67,13.55,2.05,1.48,0.74,0.24,
MBG4,sample,lake_sediment,"Lone et al., 2017",52.84,15.54,4.42,0.01,0.06,1.89,13.39,1.32,1.35,0.61,0.12,
MBG5,sample,lake_sediment,"Lone et al., 2017",48.65,14.59,3.16,0.01,0.07,1.70,22.63,1.14,1.12,0.57,0.09,
MBG6,sample,lake_sediment,"Lone et al., 2017",56.47,15.44,5.08,0.01,0.03,2.42,6.49,3.01,1.79,0.72,0.19,
MBG7,sample,lake_sediment,"Lone et al., 2017",54.80,14.17,3.77,0.01,0.03,2.15,7.50,2.23,1.60,0.77,0.19,
MBG8,sample,lake_sediment,"Lone et al., 2017",54.78,13.63,3.29,0.01,0.04,2.28,9.73,2.70,1.44,0.69,0.29,
MBG9,sample,lake_sediment,"Lone et al., 2017",51.31,13.87,2.38,0.01,0.04,1.35,20.74,1.14,1.71,0.32,0.11,
MBG10,sample,lake_sediment,"Lone et al., 2017",52.25,16.55,3.32,0.01,0.04,2.03,17.45,1.61,1.17,0.55,0.17,
MBG11,sample,lake_sediment,"Lone et al., 2017",49.85,12.39,4.02,0.01,0.04,2.72,14.04,1.86,1.56,0.68,0.21,
MBG12,sample,lake_sediment,"Lone et al., 2017",48.05,15.69,4.99,0.01,0.05,2.46,14.93,1.22,1.74,0.64,0.14,
MBG13,sample,lake_sediment,"Lone et al., 2017",50.01,15.81,4.56,0.01,0.05,2.23,15.55,1.21,1.47,0.65,0.14,
MBG14,sample,lake_sediment,"Lone et al., 2017",50.38,14.70,2.92,0.01,0.04,1.48,14.27,2.01,1.84,0.41,0.14,
MBG15,sample,lake_sediment,"Lone et al., 2017",48.58,14.47,2.83,0.01,0.04,1.53,13.17,1.01,1.84,0.42,0.16,
MBG16,sample,lake_sediment,"Lone et al., 2017",50.41,14.31,2.36,0.01,0.03,1.58,14.65,1.05,1.74,0.38,0.13,
MBG17,sample,lake_sediment,"Lone et al., 2017",48.66,14.30,2.42,0.01,0.04,1.68,14.33,1.12,1.76,0.38,0.30,
MBG18,sample,lake_sediment,"Lone et al., 2017",47.40,16.23,4.75,0.02,0.13,3.03,13.33,2.41,1.61,0.69,0.29,
MBG19,sample,lake_sediment,"Lone et al., 2017",58.93,14.99,6.23,0.02,0.08,2.39,4.97,3.23,1.55,0.96,0.16,
MBG20,sample,lake_sediment,"Lone et al., 2017",52.66,15.72,3.31,0.01,0.07,1.60,14.12,1.35,1.95,0.48,0.08,
MBG21,sample,lake_sediment,"Lone et al., 2017",51.21,13.01,4.35,0.01,0.06,2.13,14.92,2.25,1.33,0.62,0.08,
MBG22,sample,lake_sediment,"Lone et al., 2017",51.84,14.49,3.48,0.01,0.05,1.89,14.93,1.66,1.96,0.56,0.13,
SAR-5,sample,Surma_sandstone,"Hussain and Bharali, 2019",61.98,17.40,5.02,0.02,0.11,2.23,2.78,1.35,3.03,0.65,0.12,
SAS-5,sample,Surma_sandstone,"Hussain and Bharali, 2019",61.62,17.18,5.05,0.05,0.26,2.32,3.32,1.26,2.53,0.71,0.12,
SAT-2,sample,Surma_sandstone,"Hussain and Bharali, 2019",75.00,10.78,4.27,0.01,0.04,1.58,0.69,1.81,1.99,0.48,0.11,
SAZ-3,sample,Surma_sandstone,"Hussain and Bharali, 2019",74.59,11.13,3.84,0.01,0.02,1.46,0.31,1.68,1.93,0.65,0.08,
SBD-7,sample,Surma_sandstone,"Hussain and Bharali, 2019",77.13,9.91,3.67,0.03,0.07,0.80,0.35,1.44,1.50,0.63,0.09,
SCT-23,sample,Surma_sandstone,"Hussain and Bharali, 2019",71.22,12.58,4.13,0.04,0.13,2.41,0.98,1.60,1.87,0.64,0.09,
SCT-57,sample,Surma_sandstone,"Hussain and Bharali, 2019",68.88,13.33,3.75,0.02,0.06,2.29,2.41,1.53,2.27,0.52,0.11,
SCT-60,sample,Surma_sandstone,"Hussain and Bharali, 2019",68.25,15.53,4.86,0.01,0.05,2.68,0.95,1.69,2.53,0.64,0.10,
