sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
St._Lawr,composite,river_sediment,suspended_sediment,"McLennan, 1993",60.00,1.44,16.30,1.33,5.86,0.10,4.50,3.57,3.73,3.40,0.06,57.05,72.65,50.54,50.70,62.41,1.11,84.27,52.72,3.68,0.21,11.32
Western_Europe,composite,region,denudation,"McLennan, 1993",61.90,0.93,16.00,1.64,8.20,0.45,2.01,4.71,0.72,2.53,1.13,87.10,93.11,75.80,84.84,80.31,0.81,35.33,56.58,3.87,0.16,17.20
Alpine_Europe,composite,region,denudation,"McLennan, 1993",53.90,0.56,11.60,2.21,4.12,0.14,2.25,21.20,1.18,2.46,0.64,74.92,85.66,63.93,69.71,71.59,2.59,40.69,36.04,4.65,0.21,20.71
Central_America,composite,region,denudation,"McLennan, 1993",62.50,0.90,18.80,0.91,5.95,0.09,2.70,2.86,2.84,2.68,,66.80,80.10,60.56,62.98,71.28,0.69,62.93,63.85,3.32,0.14,20.89
Northwest_South_America,composite,region,denudation,"McLennan, 1993",67.10,0.66,15.70,1.22,5.87,0.12,2.57,1.91,2.03,2.82,0.25,70.15,82.46,61.73,65.44,71.07,0.72,54.43,67.58,4.27,0.18,23.79
Ocean_Islands_(excl._N.Z.),composite,region,denudation,"McLennan, 1993",67.80,0.64,14.40,1.23,4.64,0.09,2.99,2.36,3.53,2.41,0.13,55.35,71.26,50.31,50.38,63.11,0.92,69.39,63.27,4.71,0.17,22.50
New_Zealand_(S._Island),composite,region,denudation,"McLennan, 1993",62.60,0.67,18.90,0.76,4.75,0.07,2.38,3.38,2.49,3.52,0.21,69.76,82.19,61.16,64.81,70.51,0.70,65.15,67.39,3.31,0.19,28.21
U.S._Atlantic_Coast,composite,region,denudation,"McLennan, 1993",61.20,0.90,17.90,0.90,5.77,0.20,3.12,3.12,1.54,3.42,0.21,77.94,87.60,67.12,73.70,74.16,0.74,55.40,64.00,3.42,0.19,19.89
MBG1,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",50.27,15.22,4.26,0.01,0.06,2.17,12.76,1.01,2.20,0.50,0.44,37.05,54.07,35.38,33.94,50.59,7.95,64.78,31.67,11.80,0.12,0.28
MBG2,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",50.67,14.00,5.88,0.01,0.06,3.00,11.15,3.51,2.99,0.75,0.49,37.41,54.45,35.57,34.00,50.64,6.02,71.57,31.95,8.62,0.13,0.42
MBG3,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",52.42,13.40,4.41,0.01,0.04,2.67,13.55,2.05,1.48,0.74,0.24,47.52,64.43,43.75,42.57,57.68,7.69,60.70,30.79,11.89,0.17,0.33
MBG4,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",52.84,15.54,4.42,0.01,0.06,1.89,13.39,1.32,1.35,0.61,0.12,49.88,66.56,46.42,45.84,60.54,7.72,57.65,31.39,11.95,0.14,0.28
MBG5,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",48.65,14.59,3.16,0.01,0.07,1.70,22.63,1.14,1.12,0.57,0.09,46.16,63.17,42.35,40.83,56.23,13.22,80.13,24.49,15.40,0.18,0.22
MBG6,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",56.47,15.44,5.08,0.01,0.03,2.42,6.49,3.01,1.79,0.72,0.19,46.31,63.30,43.24,42.20,57.70,5.88,44.64,35.13,11.12,0.14,0.33
MBG7,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",54.80,14.17,3.77,0.01,0.03,2.15,7.50,2.23,1.60,0.77,0.19,41.73,58.89,38.20,35.81,52.10,7.54,45.66,34.86,14.54,0.20,0.27
MBG8,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",54.78,13.63,3.29,0.01,0.04,2.28,9.73,2.70,1.44,0.69,0.29,40.98,58.14,37.49,34.93,51.36,9.26,49.28,28.41,16.65,0.21,0.24
MBG9,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",51.31,13.87,2.38,0.01,0.04,1.35,20.74,1.14,1.71,0.32,0.11,29.73,45.83,28.49,26.55,42.96,16.45,79.60,18.49,21.56,0.13,0.17
MBG10,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",52.25,16.55,3.32,0.01,0.04,2.03,17.45,1.61,1.17,0.55,0.17,46.31,63.30,42.76,41.44,56.85,11.86,66.26,23.23,15.74,0.17,0.20
MBG11,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",49.85,12.39,4.02,0.01,0.04,2.72,14.04,1.86,1.56,0.68,0.21,43.92,61.04,40.65,39.02,54.90,8.27,62.46,29.74,12.40,0.17,0.32
MBG12,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",48.05,15.69,4.99,0.01,0.05,2.46,14.93,1.22,1.74,0.64,0.14,46.57,63.55,43.74,42.88,58.40,7.35,66.65,31.80,9.63,0.13,0.32
MBG13,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",50.01,15.81,4.56,0.01,0.05,2.23,15.55,1.21,1.47,0.65,0.14,48.53,65.35,45.15,44.36,59.36,8.10,65.33,31.22,10.97,0.14,0.29
MBG14,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",50.38,14.70,2.92,0.01,0.04,1.48,14.27,2.01,1.84,0.41,0.14,32.54,49.10,31.01,29.03,45.69,11.89,64.03,20.10,17.25,0.14,0.20
MBG15,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",48.58,14.47,2.83,0.01,0.04,1.53,13.17,1.01,1.84,0.42,0.16,31.86,48.32,30.30,28.18,44.84,11.47,61.08,25.74,17.17,0.15,0.20
MBG16,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",50.41,14.31,2.36,0.01,0.03,1.58,14.65,1.05,1.74,0.38,0.13,29.19,45.19,27.78,25.39,41.89,14.29,63.67,22.60,21.36,0.16,0.16
MBG17,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",48.66,14.30,2.42,0.01,0.04,1.68,14.33,1.12,1.76,0.38,0.30,29.47,45.53,28.07,25.75,42.26,13.88,63.02,22.09,20.11,0.16,0.17
MBG18,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",47.40,16.23,4.75,0.02,0.13,3.03,13.33,2.41,1.61,0.69,0.29,47.28,64.20,44.01,43.04,58.31,7.86,61.16,21.99,9.98,0.15,0.29
