sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CIW*),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),SiO2/Al2O3,K2O/Al2O3,K2O/Na2O,Al2O3/TiO2,Ba,Cr,V,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,?REE,LREE,HREE,LREE/HREE,La/Lu,Ce/Ce*,Eu/Eu*,Gd/Gd*,LaN/YbN,GdN/YbN
YRS-138A,67.43,0.57,12.17,1.24,4.33,0.09,1.59,1.71,2.21,2.3,0.07,62.60,0.77,77.00,55.49,57.11,66.52,0.80,49.39,5.54,0.19,1.04,21.35,501,59,86,3.107,7.867,0.955,6.583,0.905,0.213,0.985,0.123,0.734,0.153,0.402,0.068,0.367,0.052,22.51,20.62,1.90,10.86,6.20,3.78,0.69,1.19,5.72,2.18
YRS-134,65.72,0.7,13.54,1.27,5.39,0.11,1.74,1.11,1.44,3.07,0.18,74.08,0.85,85.11,62.68,68.32,70.40,0.70,47.47,4.85,0.23,2.13,19.34,668,59,88,30.156,60.606,6.624,39.228,5.079,1.053,3.975,0.503,2.701,0.574,1.451,0.244,1.316,0.18,153.69,146.72,6.97,21.05,17.39,12.17,0.72,0.99,15.48,2.45
YRS-132,67.71,0.7,12.8,1.14,4.3,0.09,1.5,0.85,2.17,2.75,0.16,64.19,0.78,78.19,55.85,57.91,66.16,0.72,52.50,5.29,0.21,1.27,18.29,606,49,85,6.724,14.132,1.76,11.402,1.712,0.495,1.44,0.232,1.451,0.323,0.79,0.135,0.71,0.092,41.40,37.67,3.73,10.09,7.59,4.97,0.96,0.92,6.40,1.64
YRS-129,68.86,0.46,11.58,1.2,4.31,0.07,2.22,1.59,1.12,2.44,0.1,75.86,0.86,86.27,64.67,70.81,72.09,0.79,39.75,5.95,0.21,2.18,25.17,518,58,63,5.72,12.135,1.587,10.056,1.47,0.246,1.173,0.16,0.897,0.193,0.495,0.083,0.427,0.062,34.70,32.39,2.32,13.98,9.58,4.59,0.57,0.97,9.05,2.23
YRS-121,70.44,0.3,8.63,1.01,2.42,0.08,1.45,5.3,0.79,1.87,0.07,76.85,0.87,86.91,65.12,71.76,72.19,1.25,28.98,8.16,0.22,2.37,28.77,377,45,42,7.208,16.418,1.769,10.193,1.275,0.228,0.893,0.109,0.537,0.111,0.308,0.05,0.272,0.036,39.41,37.98,1.42,26.69,20.79,5.52,0.65,0.95,17.91,2.66
YRS-127A,76.28,0.48,11.32,0.83,2.78,0.06,1,0.41,1.1,2.84,0.1,75.77,0.86,86.22,62.84,69.50,69.86,0.59,39.55,6.74,0.25,2.58,23.58,502,37,61,1.318,2.847,0.421,2.702,0.421,0.086,0.317,0.048,0.299,0.072,0.192,0.032,0.2,0.028,8.98,8.11,0.87,9.31,4.89,1.84,0.72,0.90,4.45,1.28
YRS-122,65.07,0.56,13.9,0.98,4.71,0.1,1.43,1.21,1.01,3.01,0.09,80.71,0.89,89.32,67.87,76.20,73.86,0.60,41.15,4.68,0.22,2.98,24.82,517,69,73,8.019,20.483,2.308,14.729,2.131,0.38,1.606,0.227,1.258,0.278,0.69,0.122,0.654,0.086,52.97,49.66,3.32,14.98,9.68,7.01,0.63,0.93,8.29,1.99
YRS-122A,64.63,0.62,14.53,0.76,4.11,0.13,1.52,0.54,0.98,3.28,0.11,81.84,0.90,90.01,68.20,77.30,73.78,0.54,43.34,4.45,0.23,3.35,23.44,548,66,79,2.572,6.663,0.922,6.574,1.084,0.243,1.164,0.148,0.904,0.2,0.517,0.093,0.506,0.069,21.66,19.22,2.44,7.89,3.87,3.58,0.66,1.17,3.43,1.86
YRS-118,81.86,0.34,7.77,1.04,2.57,0.05,1.12,0.7,0.67,1.63,0.07,77.90,0.88,87.58,66.19,73.15,73.05,0.71,24.65,10.54,0.21,2.43,22.85,313,37,47,6.525,16.199,1.852,11.687,1.601,0.317,1.259,0.197,1.331,0.324,0.938,0.164,0.987,0.144,43.53,39.44,4.09,9.65,4.70,5.91,0.68,0.90,4.47,1.03
YRS-119,71.22,0.57,12.26,1.03,3.73,0.08,1.35,1.06,1.61,2.72,0.09,69.83,0.82,82.23,59.80,63.75,68.67,0.69,45.38,5.81,0.22,1.69,21.51,510,62,73,3.959,11.378,1.251,8.842,1.06,0.23,1.366,0.118,0.571,0.113,0.283,0.044,0.247,0.033,29.50,28.09,1.41,19.93,12.45,5.08,0.58,1.55,10.83,4.48
YRS-117,78.07,0.44,9.6,1.08,3.13,0.06,1.02,0.78,1,1.95,0.06,74.48,0.85,85.37,64.00,69.48,71.88,0.66,30.90,8.13,0.20,1.95,21.82,409,53,62,10.401,22.401,2.545,14.823,1.819,0.318,1.386,0.207,1.248,0.294,0.75,0.135,0.748,0.104,57.18,53.69,3.49,15.40,10.38,6.66,0.61,0.91,9.40,1.50
YRS-112,74.88,0.47,11.18,1.1,3.68,0.11,1.35,0.39,1.4,2.31,0.09,70.82,0.83,82.92,61.14,65.33,69.95,0.64,39.47,6.70,0.21,1.65,23.79,516,50,69,24.927,52.431,5.616,32.745,4.199,0.737,3.174,0.42,2.216,0.487,1.285,0.212,1.122,0.163,129.73,123.83,5.91,20.97,15.88,11.32,0.62,0.96,15.01,2.29
YRS-111,68.63,0.32,7.71,1.04,2.44,0.05,3.22,4.87,1.13,1.56,0.08,67.47,0.81,80.57,58.78,61.83,68.49,1.58,35.15,8.90,0.20,1.38,24.09,468,61,48,6.472,14.163,1.697,10.042,1.305,0.24,0.946,0.125,0.686,0.16,0.409,0.064,0.385,0.056,36.75,34.87,1.89,18.50,12.00,5.05,0.66,0.93,11.36,1.99
YRS-157,73.89,0.45,10.07,1.23,3.46,0.08,1.59,1.49,1.95,1.89,0.08,61.08,0.76,75.84,54.34,55.57,65.71,0.86,42.91,7.34,0.19,0.97,22.38,418,43,70,42.77,87.239,8.663,48.621,5.62,0.804,5.005,0.684,4.06,0.938,2.351,0.388,2.025,0.291,209.46,198.72,10.74,18.51,15.26,15.18,0.46,1.03,14.27,2.00
