sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
MBG20,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",52.66,15.72,3.31,0.01,0.07,1.6,14.12,1.35,1.95,0.48,0.08,
MBG21,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",51.21,13.01,4.35,0.01,0.06,2.13,14.92,2.25,1.33,0.62,0.08,
MBG22,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",51.84,14.49,3.48,0.01,0.05,1.89,14.93,1.66,1.96,0.56,0.13,
SAR-5,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",61.98,17.4,5.02,0.02,0.11,2.23,2.78,1.35,3.03,0.65,0.12,
SAS-5,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",61.62,17.18,5.05,0.05,0.26,2.32,3.32,1.26,2.53,0.71,0.12,
SAT-2,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",75,10.78,4.27,0.01,0.04,1.58,0.69,1.81,1.99,0.48,0.11,
SAZ-3,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",74.59,11.13,3.84,0.01,0.02,1.46,0.31,1.68,1.93,0.65,0.08,
SBD-7,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",77.13,9.91,3.67,0.03,0.07,0.8,0.35,1.44,1.5,0.63,0.09,
SCT-23,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",71.22,12.58,4.13,0.04,0.13,2.41,0.98,1.6,1.87,0.64,0.09,
SCT-57,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",68.88,13.33,3.75,0.02,0.06,2.29,2.41,1.53,2.27,0.52,0.11,
SCT-60,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",68.25,15.53,4.86,0.01,0.05,2.68,0.95,1.69,2.53,0.64,0.1,
SCT-62,sample,sandstone,Surma_Group,"Hussain and Bharali, 2019",72.11,14.01,4.04,0.01,0.04,2.34,0.42,2.07,2.22,0.46,0.07,
