sample,category,subcategory,subsubcategory,reference,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W)
MBG6,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",46.31,63.3,43.24,42.2,57.7,5.88,44.64,35.13
MBG7,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",41.73,58.89,38.2,35.81,52.1,7.54,45.66,34.86
MBG8,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",40.98,58.14,37.49,34.93,51.36,9.26,49.28,28.41
MBG9,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",29.73,45.83,28.49,26.55,42.96,16.45,79.6,18.49
MBG10,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",46.31,63.3,42.76,41.44,56.85,11.86,66.26,23.23
MBG11,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",43.92,61.04,40.65,39.02,54.9,8.27,62.46,29.74
MBG12,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",46.57,63.55,43.74,42.88,58.4,7.35,66.65,31.8
MBG13,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",48.53,65.35,45.15,44.36,59.36,8.1,65.33,31.22
MBG14,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",32.54,49.1,31.01,29.03,45.69,11.89,64.03,20.1
MBG15,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",31.86,48.32,30.3,28.18,44.84,11.47,61.08,25.74
MBG16,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",29.19,45.19,27.78,25.39,41.89,14.29,63.67,22.6
MBG17,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",29.47,45.53,28.07,25.75,42.26,13.88,63.02,22.09
MBG18,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",47.28,64.2,44.01,43.04,58.31,7.86,61.16,21.99
MBG19,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",54.99,70.96,50.37,50.44,63.45,4.51,39.72,37.03
MBG20,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",34.03,50.78,32.31,30.31,47.03,10.64,65.48,25.74
MBG21,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",49.85,66.53,46.29,45.67,60.34,7.88,61.72,26.74
MBG22,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",35.05,51.91,33.03,30.83,47.6,10.2,68.5,26.23
SAR-5,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",33.49,50.18,31.99,30.21,46.88,5.47,48.1,44.52
SAS-5,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",37.76,54.82,35.71,33.96,50.6,5.42,44.34,37.23
SAT-2,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",39.47,56.6,37.66,36.42,52.96,4.06,28.91,60.63
SAZ-3,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",37.68,54.74,35.25,33.06,49.75,4.47,28.62,65.39
SBD-7,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",42.65,59.79,39.52,37.71,53.82,3.99,23.6,62.46
SCT-23,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",40.16,57.31,37.63,35.84,52.28,4.87,29.69,49.19
SCT-57,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",33.43,50.1,31.83,29.91,46.6,5.97,37.22,42.49
SCT-60,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",36.86,53.87,35.02,33.36,50.03,4.94,37.21,59.32
SCT-62,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",35.61,52.52,34.12,32.66,49.33,5.33,30.65,60.25
SVC-7,sample,Surma_Group,sandstone,"Hussain and Bharali, 2019",36.56,53.55,35.09,33.78,50.45,4.29,46.38,58.03
SCZ-3,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",54.35,70.42,48.52,48.11,60.93,3.57,22.7,69
SCZ-4,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",55.95,71.76,51.66,51.97,64.85,2.88,15.08,69.37
SCZ-12,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",38.41,55.5,35.71,33.36,50.03,5.26,28.83,53.04
SCZ-14,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",47.04,63.98,43,41.55,56.73,3.59,23.5,66.67
SCT-7,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",45.33,62.38,43.29,42.63,58.59,3.75,29.73,49.85
SCT-8,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",41.55,58.71,39.34,38.06,54.38,4.34,25.68,58.18
SCT-11,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",60.88,75.68,55.86,57.01,68.07,2.94,15.1,66.2
SCT-12,sample,Barail_Group,sandstone,"Hussain and Bharali, 2019",44.65,61.73,41.54,40.18,55.95,4.17,25.01,63.76
CCSC,sample,channel_sediments,Chambal,"Maharana et al., 2018",60.71,75.55,52.75,53.73,63.61,1.61,27.65,61.42
CCSF,sample,channel_sediments,Chambal,"Maharana et al., 2018",61.04,75.8,54.1,55.31,65.39,1.55,28.81,50.92
BNSCS,sample,channel_sediments,Banas,"Maharana et al., 2018",55.68,71.53,45.87,43.62,56.11,1.08,37.1,49.27
BCSC,sample,channel_sediments,Betwa,"Maharana et al., 2018",68.03,80.97,49.09,47.95,55.49,3.83,40,43.55
BCSF,sample,channel_sediments,Betwa,"Maharana et al., 2018",61.25,75.97,48.8,47.98,57.71,1.03,58.23,55.74
KCS,sample,channel_sediments,Ken,"Maharana et al., 2018",67.68,80.72,55.27,58.32,63.67,0.95,27.91,69.5
TCS,sample,channel_sediments,Ton,"Maharana et al., 2018",69.97,82.33,61.83,65.42,71.28,1.04,7.32,72.84
SCSC,sample,channel_sediments,Son,"Maharana et al., 2018",65.81,79.38,51.12,52.02,58.94,0.89,30.73,65.85
SBSF,sample,channel_sediments,Son,"Maharana et al., 2018",64.23,78.22,51.55,52.56,60.19,1.01,33.53,74.56
YCS-AG,sample,channel_sediments,Yamuna,"Maharana et al., 2018",65.12,78.88,57.57,59.86,68.06,0.78,32.59,70.75
YCS-ABD,sample,channel_sediments,Yamuna,"Maharana et al., 2018",61.85,76.43,54.14,55.52,65,1.14,34.01,63.24
GCS-ABD,sample,channel_sediments,Ganga,"Maharana et al., 2018",60.58,75.45,52.95,53.94,63.97,0.77,40.51,69.29
GCSS,sample,channel_sediments,Ganga,"Maharana et al., 2018",59.08,74.28,50.93,51.29,61.84,0.76,36.01,51.08
GCSV,sample,channel_sediments,Ganga,"Maharana et al., 2018",60.31,75.24,53.79,54.84,65.36,1.02,29.44,66.96
COB,sample,overbank_sediments,Chambal,"Maharana et al., 2018",79.97,88.87,70.06,76.67,76.8,1.2,31.63,47.24
BNSOB,sample,overbank_sediments,Banas,"Maharana et al., 2018",62.48,76.91,54.68,56.24,65.42,0.95,38.04,67.93
SINMD,sample,overbank_sediments,Sindh,"Maharana et al., 2018",83.37,90.93,72.05,80.27,77.62,1.1,34.35,51.58
SINOBO,sample,overbank_sediments,Sindh,"Maharana et al., 2018",85.41,92.13,75.41,83.18,80.6,1.09,31.7,46.97
BMD1B,sample,overbank_sediments,Betwa,"Maharana et al., 2018",77.53,87.35,64.74,72,71.45,0.87,39.93,66.92
BOB2A,sample,overbank_sediments,Betwa,"Maharana et al., 2018",68.63,81.39,52.4,54.55,59.53,1.24,50.11,32
BOB2B,sample,overbank_sediments,Betwa,"Maharana et al., 2018",81.35,89.72,71.01,78.17,77.3,0.74,33.13,63.28
BOB2C,sample,overbank_sediments,Betwa,"Maharana et al., 2018",90.28,94.89,80.04,88.85,83.64,0.65,29.57,58.91
BOBO,sample,overbank_sediments,Betwa,"Maharana et al., 2018",83.65,91.1,73.5,81.04,79.19,0.77,31.6,58.75
KOBA,sample,overbank_sediments,Ken,"Maharana et al., 2018",84.79,91.77,74.18,82.25,79.47,0.95,28.24,53.08
KOBB,sample,overbank_sediments,Ken,"Maharana et al., 2018",81.79,89.98,69.82,78.02,75.71,1.06,29.23,57.38
TOB,sample,overbank_sediments,Ton,"Maharana et al., 2018",89.52,94.47,77.79,87.66,81.5,0.52,33.81,72.17
SMD1B,sample,overbank_sediments,Son,"Maharana et al., 2018",88.33,93.81,77.34,86.4,81.51,0.48,32.86,74.83
